avg_t,p99_t,n_requests,n_responses,success_percentage,request_qps,response_qps,max_time,n_server_fails,k_client_amplification,n_retries,retry_rate_threshold
0.10000000000000318,0.10000000000000853,100,100,100.0,1,10,100,0,1,-2,0.5
0.10000000000000318,0.10000000000000853,200,200,100.0,2,10,100,0,1,-2,0.5
0.10000000000000317,0.10000000000000853,300,300,100.0,3,10,100,0,1,-2,0.5
0.10000000000000318,0.10000000000000853,400,400,100.0,4,10,100,0,1,-2,0.5
0.10000000000000318,0.10000000000000853,500,500,100.0,5,10,100,0,1,-2,0.5
0.10000000000000317,0.10000000000000853,600,600,100.0,6,10,100,0,1,-2,0.5
0.10000000000000317,0.10000000000000853,700,700,100.0,7,10,100,0,1,-2,0.5
0.10000000000000318,0.10000000000000853,800,800,100.0,8,10,100,0,1,-2,0.5
0.10000000000000317,0.10000000000000853,900,900,100.0,9,10,100,0,1,-2,0.5
0.10000000000000318,0.10000000000000853,1000,1000,100.0,10,10,100,0,1,-2,0.5
0.10000000000000313,0.10000000000000853,101,101,100.0,1,10,100,0,2,-2,0.5
0.10000000000000313,0.10000000000000853,202,202,100.0,2,10,100,0,2,-2,0.5
0.10000000000000313,0.10000000000000853,303,303,100.0,3,10,100,0,2,-2,0.5
0.10000000000000313,0.10000000000000853,404,404,100.0,4,10,100,0,2,-2,0.5
0.10000000000000313,0.10000000000000853,505,505,100.0,5,10,100,0,2,-2,0.5
0.3607260726072638,1.1000000000000085,608,606,100.0,6,10,100,0,2,-2,0.5
24.268067226890768,65.35,1407,476,67.32673267326733,7,10,100,0,2,-2,0.5
24.9360655737705,69.1,1608,488,60.396039603960396,8,10,100,0,2,-2,0.5
24.269696969696977,69.16,1809,495,54.45544554455446,9,10,100,0,2,-2,0.5
23.982352941176476,72.1,2010,510,50.495049504950494,10,10,100,0,2,-2,0.5
0.10000000000000307,0.10000000000000853,102,102,100.0,1,10,100,0,3,-2,0.5
0.10000000000000307,0.10000000000000853,204,204,100.0,2,10,100,0,3,-2,0.5
0.10000000000000307,0.10000000000000853,306,306,100.0,3,10,100,0,3,-2,0.5
0.4872549019607874,1.1000000000000085,410,408,100.0,4,10,100,0,3,-2,0.5
16.17843137254902,40.1,905,510,100.0,5,10,100,0,3,-2,0.5
25.988888888888894,63.1,1218,468,76.47058823529412,6,10,100,0,3,-2,0.5
26.33949579831934,68.1,1421,476,66.66666666666666,7,10,100,0,3,-2,0.5
26.190163934426234,71.1,1624,488,59.80392156862745,8,10,100,0,3,-2,0.5
25.15252525252526,71.1,1827,495,53.92156862745098,9,10,100,0,3,-2,0.5
24.649019607843144,73.1,2030,510,50.0,10,10,100,0,3,-2,0.5
0.10000000000000303,0.10000000000000853,103,103,100.0,1,10,100,0,4,-2,0.5
0.10000000000000303,0.10000000000000853,206,206,100.0,2,10,100,0,4,-2,0.5
0.611326860841427,1.1000000000000085,311,309,100.0,3,10,100,0,4,-2,0.5
3.066019417475731,4.1000000000000085,428,412,100.0,4,10,100,0,4,-2,0.5
25.913186813186826,57.55999999999998,1025,455,88.3495145631068,5,10,100,0,4,-2,0.5
27.27521367521368,64.1,1230,468,75.72815533980582,6,10,100,0,4,-2,0.5
27.169327731092448,69.1,1435,476,66.01941747572816,7,10,100,0,4,-2,0.5
26.731147540983613,72.1,1640,488,59.22330097087378,8,10,100,0,4,-2,0.5
25.56060606060607,72.1,1845,495,53.398058252427184,9,10,100,0,4,-2,0.5
24.96274509803922,74.1,2050,510,49.51456310679612,10,10,100,0,4,-2,0.5
